,RMSE,QLIKE,MAE,n_inputs,mlp_units,epochs,learning_rate,num_lr_decays,scaler_type,dropout,n_pool_kernel_size,pooling_mode,interpolation_mode,n_blocks,random_seed,trial,id_H
9,0.7288151725699127,0.0026937494597428,0.5547596838886467,3,"[100, 100]",250,0.0005,5,minmax,0.4,2,AvgPool1d,nearest,3,109243812,9,2
10,0.5664425231875269,0.0016824417534196,0.454599237740717,5,"[250, 250]",250,5e-05,2,minmax,0.0,2,MaxPool1d,linear,5,105485315,10,2
11,0.6859659772213954,0.0024097807608278,0.5437593221877934,84,"[250, 250]",750,1e-05,1,robust,0.2,0,MaxPool1d,linear,3,97929710,11,2
12,0.6733829151752425,0.0023248426499004,0.5126272037998182,15,"[250, 250]",50,0.0001,3,standard,0.3,1,AvgPool1d,nearest,2,105766143,12,2
13,0.7232578254016762,0.0026713864982113,0.5496005433424218,21,"[100, 100]",150,1e-05,1,minmax,0.4,2,AvgPool1d,nearest,1,106403725,13,2
14,0.5883038070843865,0.0017553607155756,0.4703469357154289,42,"[712, 712]",650,0.0001,3,standard,0.4,1,AvgPool1d,nearest,1,99159712,14,2
15,0.702147074634089,0.0024881873437223,0.5914784702318259,42,"[100, 100]",550,0.0005,5,minmax,0.0,2,MaxPool1d,linear,3,61400976,15,2
16,0.6849892812479862,0.0024261181065202,0.5316731340157238,3,"[250, 250]",100,5e-05,2,standard,0.4,1,MaxPool1d,linear,1,123059782,16,2
17,0.666701831516016,0.0022591475946253,0.55645672939342,84,"[712, 712]",550,0.0005,5,robust,0.3,0,MaxPool1d,linear,1,28607643,17,2
18,0.6512604524930322,0.0021615527012292,0.5532249866293715,42,"[712, 712]",650,1e-05,1,standard,0.2,1,MaxPool1d,linear,2,72681490,18,2
19,0.7488377129910648,0.0027793105609212,0.6158526607476325,84,"[250, 250]",550,0.0005,5,standard,0.2,1,AvgPool1d,nearest,2,9554540,19,2
20,0.7259753450060509,0.0026641134297639,0.5477192113209407,5,"[250, 250]",250,1e-05,1,minmax,0.3,2,MaxPool1d,linear,1,115567461,20,2
21,0.6449669721769254,0.0021300316395773,0.5444943243210236,84,"[512, 512]",550,1e-05,1,minmax,0.2,2,MaxPool1d,linear,3,40851997,21,2
22,0.7211195111274683,0.0026123458736549,0.5644983526998633,3,"[712, 712]",50,1e-05,1,standard,0.4,1,MaxPool1d,linear,2,20906008,22,2
23,0.7004829260614108,0.0025247357446127,0.5378011769520489,15,"[100, 100]",350,1e-05,1,standard,0.3,1,AvgPool1d,nearest,2,87960801,23,2
24,0.7086986001015962,0.0026211118264053,0.540549861972887,21,"[712, 712]",250,0.0001,3,minmax,0.4,2,AvgPool1d,nearest,1,20061154,24,2
25,0.5533603017290394,0.0016202297524469,0.4261805394821992,21,"[512, 512]",650,0.0005,5,standard,0.4,1,MaxPool1d,linear,3,85558324,25,2
26,0.5967738281318989,0.0018520358965384,0.4636545569192152,15,"[712, 712]",450,0.0001,3,standard,0.4,1,AvgPool1d,nearest,1,81732651,26,2
27,0.6158823517225647,0.0019603767867288,0.5060233053905346,42,"[512, 512]",150,1e-05,1,standard,0.0,1,MaxPool1d,linear,5,34959440,27,2
28,0.7413668980903878,0.0028769310778974,0.5689192762509303,15,"[512, 512]",450,5e-05,2,robust,0.4,0,MaxPool1d,linear,5,61860867,28,2
29,0.8948211331151925,0.0041670625228198,0.6877983261428944,5,"[712, 712]",650,0.0001,3,robust,0.0,0,AvgPool1d,nearest,5,15184766,29,2
0,0.6551832678165701,0.0022040363869304,0.5110948378871338,10,"[250, 250]",650,1e-05,1,robust,0.4,0,AvgPool1d,nearest,3,61773169,0,3
1,0.7476198817778807,0.0028228357181805,0.5915566667392418,3,"[100, 100]",50,1e-05,1,minmax,0.3,2,MaxPool1d,linear,2,85838078,1,3
2,0.6587842427560997,0.0022360035071058,0.5345948594147537,84,"[512, 512]",550,5e-05,2,robust,0.4,0,MaxPool1d,linear,5,42891608,2,3
3,0.714260379989146,0.0025886313249179,0.5829094865643588,3,"[712, 712]",550,0.0005,5,minmax,0.3,2,MaxPool1d,linear,5,9429513,3,3
4,0.6847867963515626,0.0024051333501034,0.5496506392465105,3,"[250, 250]",350,0.0005,5,standard,0.0,1,AvgPool1d,nearest,1,60750850,4,3
5,0.7012429749021665,0.002535423293318,0.541912180206564,42,"[100, 100]",250,0.0001,3,standard,0.2,1,MaxPool1d,linear,1,73667861,5,3
6,0.6844668856366224,0.0024198588329498,0.5299156865750179,15,"[512, 512]",100,0.0005,5,standard,0.2,1,AvgPool1d,nearest,3,15165690,6,3
7,0.6448503423329358,0.0021482498212956,0.5004395702089376,15,"[712, 712]",750,1e-05,1,standard,0.4,1,AvgPool1d,nearest,1,88301079,7,3
8,0.688821278458504,0.002387930664964,0.5436168540509998,42,"[712, 712]",550,0.0005,5,robust,0.0,0,AvgPool1d,nearest,5,112221962,8,3
9,0.7148501860947879,0.0026349457866052,0.5638447281841933,5,"[100, 100]",100,5e-05,2,standard,0.4,1,AvgPool1d,nearest,1,61594954,9,3
10,0.6087715787600271,0.0019486183005483,0.4841580517422223,42,"[100, 100]",450,5e-05,2,robust,0.2,0,MaxPool1d,linear,5,98083132,10,3
11,0.7619982181627549,0.0031360263393773,0.5916790338974716,10,"[512, 512]",100,5e-05,2,minmax,0.4,2,AvgPool1d,nearest,5,55377355,11,3
12,0.6546077755682731,0.0021705371304996,0.489506614720148,10,"[512, 512]",550,5e-05,2,robust,0.4,0,MaxPool1d,linear,5,113971882,12,3
13,0.6073647742513708,0.0019534619404766,0.4750105738252901,21,"[512, 512]",100,0.0005,5,robust,0.2,0,MaxPool1d,linear,1,46836328,13,3
14,0.6875487838430014,0.0024616092146979,0.5405740010313159,15,"[100, 100]",650,1e-05,1,robust,0.4,0,MaxPool1d,linear,2,74098140,14,3
15,0.6730303333293589,0.0023161078018904,0.523458926737561,15,"[250, 250]",350,1e-05,1,standard,0.3,1,AvgPool1d,nearest,5,28779624,15,3
16,0.6940778725428858,0.0024604967108186,0.5425653927234438,84,"[250, 250]",50,0.0005,5,robust,0.0,0,AvgPool1d,nearest,2,104125908,16,3
17,0.6486845267706707,0.0022085532447057,0.5130960655885469,21,"[512, 512]",650,1e-05,1,standard,0.4,1,AvgPool1d,nearest,5,45634687,17,3
18,0.7110968831981462,0.0026147010555928,0.5596364635245468,42,"[250, 250]",50,5e-05,2,robust,0.2,0,AvgPool1d,nearest,1,70723584,18,3
19,0.7238784953412509,0.0026714590128738,0.5728735090800278,3,"[100, 100]",650,0.0001,3,minmax,0.3,2,AvgPool1d,nearest,3,14718731,19,3
20,0.7031237694322302,0.0026663361378905,0.5544104288123045,21,"[712, 712]",750,5e-05,2,robust,0.3,0,AvgPool1d,nearest,3,103677118,20,3
21,0.6732430732915897,0.0023165851378332,0.5197451460941801,10,"[250, 250]",250,0.0001,3,standard,0.3,1,AvgPool1d,nearest,5,103158004,21,3
22,0.6410039981117313,0.0020953282185534,0.5119989786076221,15,"[100, 100]",750,0.0005,5,minmax,0.0,2,MaxPool1d,linear,5,45472336,22,3
23,0.6837964281174004,0.0024527885491289,0.5244624203792161,15,"[712, 712]",750,0.0001,3,minmax,0.0,2,MaxPool1d,linear,3,112170312,23,3
24,0.6575610395266414,0.002221651562614,0.5130116856926956,5,"[512, 512]",100,0.0005,5,standard,0.0,1,AvgPool1d,nearest,2,50838060,24,3
25,0.8220833070739522,0.0033788535810652,0.6580944306359027,3,"[100, 100]",550,0.0005,5,robust,0.3,0,AvgPool1d,nearest,3,104801408,25,3
26,0.6583472443938522,0.0022497842390975,0.5374145599745758,15,"[712, 712]",550,0.0005,5,robust,0.4,0,MaxPool1d,linear,2,97848932,26,3
